,name,price,description,trassmition,model,milage,fuel,Brand,Segment
0,Seat Leon,26118,Sportstourer 1.4 E-hybrid Fr Led Acc Navi,Automatic,2021,52080,Hybrid,Seat,Low-Range
1,Volvo V60,27777,T6 Awd Recharge Plug-in Momentum Pro Ahk,Automatic,2020,107217,Hybrid,Volvo,Premium
2,Volkswagen Tiguan,20392,"2.0 Tdi Navi/sound/bmt,comfortline,1.hand",Manual,2017,123000,Diesel,Volkswagen,Premium
3,Volkswagen Tiguan,30967,2.0 Tdi Highline R-line 4mo. Led+navi+acc,Automatic,2019,68100,Diesel,Volkswagen,Premium
4,Volkswagen Tiguan,22892,Join Start-stopp 2hand Ahk Garantie,Manual,2018,105958,Diesel,Volkswagen,Premium
5,Volkswagen Tiguan,26760,2.0 Tdi/matrix/4motion/ambiente/200ps,Automatic,2021,127000,Diesel,Volkswagen,Premium
6,Volkswagen Tiguan,36139,"R-line 1,5 Tsi Dsg*led*kamera*virtual*acc",Automatic,2023,50000,Petrol,Volkswagen,Premium
7,Volkswagen T-roc,38297,R-line Pano Kam Navi Iq-light 19'' Black,Automatic,2024,6123,Petrol,Volkswagen,Premium
8,Volkswagen T-roc,18583,Style2.0tdi Dsg Navi Alu Pdc Acc,Automatic,2021,139000,Diesel,Volkswagen,Premium
9,Volkswagen T-roc,21206,Sport/r-line,Manual,2019,79850,Petrol,Volkswagen,Premium
10,Volkswagen T-roc,23631,Style,Automatic,2020,68100,Petrol,Volkswagen,Premium
11,Volkswagen Polo,14942,1.2 Tsi Comfortline Dsg Klimaaut. Shz 1.han,Automatic,2015,15975,Petrol,Volkswagen,Premium
12,Volkswagen Polo,22751,Vi Gti Aid Acc Alcantara Carplay Led Pano,Automatic,2018,68000,Petrol,Volkswagen,Premium
13,Volkswagen Polo,24137,"Life 1,0 Tsi Dsg Acc+led+shzg.+einparkh.+15",Automatic,2024,20,Petrol,Volkswagen,Premium
14,Volkswagen Polo,19120,"1,0 Life Led+gra+einparkh.+shzg.",Manual,2023,17300,Petrol,Volkswagen,Premium
15,Toyota Yaris,11745,1.0 Vvt-i*klima*zv-funk*8-fach Rader*,Manual,2015,96854,Petrol,Toyota,Mid-Range
16,Renault Clio,19034,V Abs Fahrerairbag Beifahrerairbag Esp Sero,Automatic,2020,52000,Petrol,Renault,Unknown
17,Porsche Macan,104287,"Gts 2.9, 1.hand, Original 380 Km, Garantie",Automatic,2023,380,Petrol,Porsche,Ultra-Luxury/Exotic
18,Porsche Macan,95137,"S*acc,ahk,bose,pano,tempolim.,14-wege,360°",Automatic,2024,14300,Petrol,Porsche,Ultra-Luxury/Exotic
19,Peugeot 3008,22354,Gt 1.6 Puretech 180 Eat8,Automatic,2021,61502,Petrol,Peugeot,Mid-Range
20,Peugeot 5008,34797,Pure Tech Gt Eat *7-sitze*acc*led*upe:49,Automatic,2024,8231,Petrol,Peugeot,Mid-Range
21,Peugeot 3008,28812,Roadtrip Hybrid 225 (plug-in) *szh*navi*,Automatic,2021,13332,Hybrid,Peugeot,Mid-Range
22,Peugeot 508,31312,Sw Gt Pack 1.6 Puretech 225 *navi*led*szh*ka,Automatic,2021,17500,Petrol,Peugeot,Mid-Range
23,Peugeot 508,30839,Sw Gt Pack 1.6 Puretech 225 *ahk*navi*led*sz,Automatic,2021,21747,Petrol,Peugeot,Mid-Range
24,Peugeot 3008,27239,Allure Pack 1.2 Pt 130 +navi+led+cam+shz+,Manual,2021,24800,Petrol,Peugeot,Mid-Range
25,Peugeot 508,31812,Sw Gt Pack 1.6 Puretech 225 *nav*led*szh*,Automatic,2021,11356,Petrol,Peugeot,Mid-Range
26,Peugeot 508,28339,Sw Gt 1.6 Puretech 180 *szh*navi*led*,Automatic,2021,20017,Petrol,Peugeot,Mid-Range
27,Peugeot 508,25539,Sw Gt 1.2 Puretech 130 *szh*navi*led*,Automatic,2021,23094,Petrol,Peugeot,Mid-Range
28,Peugeot 2008,22039,Elektro 136 Allure Klimaaut.+kamera+dab+,Automatic,2021,22690,Not specified,Peugeot,Mid-Range
29,Peugeot 508,24565,Sw Gt 1.2 Puretech 130 *szh*navi*led*,Automatic,2021,31520,Petrol,Peugeot,Mid-Range
30,Seat Leon,26118,Sportstourer 1.4 E-hybrid Fr Led Acc Navi,Automatic,2021,52080,Hybrid,Seat,Low-Range
